2021-01-12," <Research Report>BofAS Latest Ratings, TPs on CN Developers (Table) "
2021-01-12," *BofAS Upgrades CHINA JINMAO (00817.HK) to Buy, Downgrades SUNAC (01918.HK) to Neutral  "
2021-01-11, SUNAC Chair Sun Hongbin Adds 940K Shrs Further  
2021-01-07, SUNAC (01918.HK) Chair Sun Hongbin Buys 2.9M Shrs at $77.96M 
2021-01-07," Snow Lake Capital Tells MGM CHINA to Draw Meituan, Other CN Firms as Strategic Partners "
2021-01-07, SUNAC (01918.HK) Chair Adds Shrs at $49.82M  
2021-01-06, CN Property Developers' Financing May Hail Relaxed Scope in Trial Areas: Rumor 
2021-01-06, SUNAC (01918.HK) FY20 Contracted Sales Up 3.4% to RMB575.26B 
2021-01-04,   《HKEx》- 01918 SUNAC - UNAUDITED OPERATION DATA FOR DECEMBER 2020 
2021-01-04,   《HKEx》- 01918 SUNAC - Monthly Return of Equity Issuer on Movements in Securities Ended 31 December 2020 
2020-12-31, <Research Report>CICC Expects China's Concentration Mgmt of Real Estate Loans Not Blanket Tightening  
2020-12-15, *CICC: CN Developers' Valuation Fall Unlikely; Long-term Trends Divergent on Tightened New Rule  
2020-12-11," <Review>Top 5 Gainers, Losers among HSCEI Constituents in 2020 (Table) "
2020-12-11,   《HKEx》- 01918 SUNAC - LIST OF DIRECTORS AND THEIR ROLE AND FUNCTION 
